algorithm,input_size_bytes,trial_number,encryption_time_seconds,decryption_time_seconds,ciphertext_size_bytes,input_size_MB,encryption_throughput_MBps,decryption_throughput_MBps,encryption_time_per_byte,decryption_time_per_byte,encryption_ns_per_byte,decryption_ns_per_byte,ciphertext_expansion_ratio
DES,1024,5,0.0140727259858977,0.0139308910002,1032,0.0009765625,0.06939398244367259,0.07010050541533774,1.3742896470603222e-05,1.3604385742382813e-05,13742.896470603222,13604.385742382812,1.0078125
DES,1024,6,0.0138311549962963,0.0138446210185065,1032,0.0009765625,0.07060599785495163,0.07053732266810345,1.3506987301070606e-05,1.3520137713385254e-05,13506.987301070607,13520.137713385253,1.0078125
DES,1024,7,0.0133790120016783,0.0133873980084899,1032,0.0009765625,0.07299212377397503,0.07294640074050927,1.3065441407888966e-05,1.3073630867665918e-05,13065.441407888966,13073.630867665917,1.0078125
DES,1024,8,0.0134851599868852,0.0134516470134258,1032,0.0009765625,0.07241756871625861,0.07259798737101218,1.3169101549692578e-05,1.3136374036548632e-05,13169.10154969258,13136.374036548632,1.0078125
DES,1024,9,0.0133386169909499,0.0134051009954418,1032,0.0009765625,0.07321317499877135,0.07285006657779491,1.3025993155224511e-05,1.3090918940861133e-05,13025.99315522451,13090.918940861133,1.0078125
DES,1024,10,0.0134932649962138,0.0133249210193753,1032,0.0009765625,0.07237406960242926,0.07328842689423935,1.317701659786504e-05,1.3012618182983691e-05,13177.01659786504,13012.618182983691,1.0078125
3DES,1024,1,0.0395950759993866,0.0397214309778064,1032,0.0009765625,0.024663735965934973,0.02458527993479479,3.866706640565098e-05,3.879045993926406e-05,38667.06640565098,38790.45993926406,1.0078125
3DES,1024,2,0.0398792359919752,0.0393767280038446,1032,0.0009765625,0.024487994208226838,0.02480049891155639,3.8944566398413284e-05,3.845383594125449e-05,38944.566398413284,38453.83594125449,1.0078125
3DES,1024,3,0.0396872679993975,0.0397827560082078,1032,0.0009765625,0.024606443054100507,0.02454738178014917,3.875709765566162e-05,3.885034766426543e-05,38757.09765566162,38850.34766426543,1.0078125
3DES,1024,4,0.0398431190114934,0.0395811189955566,1032,0.0009765625,0.024510192079046186,0.024672432836212375,3.890929590966152e-05,3.865343651909824e-05,38909.29590966152,38653.43651909824,1.0078125
3DES,1024,5,0.0398857279797084,0.0400078449747525,1032,0.0009765625,0.024484008427696737,0.02440927524629915,3.8950906230183985e-05,3.907016110815674e-05,38950.90623018399,39070.16110815674,1.0078125
3DES,1024,6,0.0400440830271691,0.0397511360060889,1032,0.0009765625,0.024387185975451656,0.024566907970892067,3.9105549831219826e-05,3.881946875594619e-05,39105.549831219825,38819.46875594619,1.0078125
3DES,1024,7,0.0399700250127352,0.039612918975763,1032,0.0009765625,0.024432371500614492,0.024652626598850383,3.903322755149922e-05,3.868449118726856e-05,39033.22755149922,38684.491187268555,1.0078125
3DES,1024,8,0.0397092280036304,0.0396494869783055,1032,0.0009765625,0.024592835194648412,0.024629889928571666,3.877854297229531e-05,3.872020212725146e-05,38778.54297229531,38720.20212725146,1.0078125
3DES,1024,9,0.0397328920080326,0.039904473000206,1032,0.0009765625,0.02457818826282701,0.02447250712958817,3.880165235159434e-05,3.896921191426367e-05,38801.65235159433,38969.21191426367,1.0078125
3DES,1024,10,0.0400133359944447,0.0399265640007797,1032,0.0009765625,0.024405925567805253,0.02445896671651809,3.90755234320749e-05,3.8990785157011426e-05,39075.5234320749,38990.78515701143,1.0078125
AES,4096,1,0.0512795870017726,0.0931564990023616,4112,0.00390625,0.07617553549846202,0.04193212542155511,1.2519430420354638e-05,2.2743285889248438e-05,12519.430420354638,22743.285889248436,1.00390625
AES,4096,2,0.0512200359953567,0.0920221129781566,4112,0.00390625,0.07626410103175478,0.042449036145553745,1.2504891600428881e-05,2.2466336176307764e-05,12504.89160042888,22466.336176307763,1.00390625
AES,4096,3,0.0514097610139288,0.0926935049938038,4112,0.00390625,0.07598265237882847,0.042141571842181584,1.2551211185041211e-05,2.263025024262788e-05,12551.211185041211,22630.25024262788,1.00390625
AES,4096,4,0.0510598969995044,0.0910449110087938,4112,0.00390625,0.07650328789417485,0.042904649548426765,1.246579516589463e-05,2.22277614767563e-05,12465.79516589463,22227.7614767563,1.00390625
AES,4096,5,0.0503216409997548,0.0915657719888258,4112,0.00390625,0.07762564817826656,0.042660591563370404,1.2285556884705762e-05,2.2354924801959425e-05,12285.556884705762,22354.924801959423,1.00390625
AES,4096,6,0.0500605840061325,0.0899547679873649,4112,0.00390625,0.07803045205228684,0.04342460202386019,1.2221822267122193e-05,2.196161327816526e-05,12221.822267122194,21961.61327816526,1.00390625
AES,4096,7,0.0496929490182083,0.0899886709812562,4112,0.00390625,0.07860773162342784,0.04340824191984829,1.2132067631398511e-05,2.196989037628325e-05,12132.067631398511,21969.89037628325,1.00390625
AES,4096,8,0.0500531199795659,0.0905972959881182,4112,0.00390625,0.07804208811747838,0.04311662900526637,1.2219999995011206e-05,2.211848046584917e-05,12219.999995011207,22118.48046584917,1.00390625
AES,4096,9,0.0496931390080135,0.0897533120005391,4112,0.00390625,0.07860743108560882,0.043522070806440404,1.2132114015628295e-05,2.1912429687631616e-05,12132.114015628295,21912.429687631615,1.00390625
AES,4096,10,0.0496899429999757,0.0899108560115564,4112,0.00390625,0.07861248703790846,0.04344581036463408,1.2131333740228442e-05,2.1950892580946388e-05,12131.333740228443,21950.892580946387,1.00390625
DES,4096,1,0.0575044270080979,0.056861046992708,4104,0.00390625,0.06792955261426939,0.06869817223908922,1.4039166750023902e-05,1.3882091550954101e-05,14039.166750023902,13882.091550954101,1.001953125
DES,4096,2,0.0571472510055173,0.056876785994973,4104,0.00390625,0.06835411907429931,0.06867916201075866,1.3951965577518872e-05,1.3885934080803955e-05,13951.965577518871,13885.934080803954,1.001953125
DES,4096,3,0.0554347870056517,0.0554479309939779,4104,0.00390625,0.07046568068533841,0.07044897672420367,1.3533883546301685e-05,1.3537092527826636e-05,13533.883546301684,13537.092527826635,1.001953125
DES,4096,4,0.0561967590183485,0.0563229939725715,4104,0.00390625,0.06951023632385261,0.06935444521827601,1.371991186971399e-05,1.3750730950334838e-05,13719.91186971399,13750.730950334839,1.001953125
DES,4096,5,0.0594764249981381,0.0554734299948904,4104,0.00390625,0.06567728306000713,0.07041659404078314,1.452061157181106e-05,1.3543317869846288e-05,14520.61157181106,13543.317869846289,1.001953125
DES,4096,6,0.0557493839878588,0.0562074480112642,4104,0.00390625,0.07006803879394811,0.06949701753435189,1.361068945016084e-05,1.3722521487125048e-05,13610.68945016084,13722.521487125048,1.001953125
DES,4096,7,0.0549514760205056,0.0549024140054825,4104,0.00390625,0.07108544270116329,0.07114896622960742,1.341588770031875e-05,1.3403909669307251e-05,13415.88770031875,13403.909669307252,1.001953125
DES,4096,8,0.0551612669951282,0.0548619490000419,4104,0.00390625,0.07081508842690283,0.07120144419216709,1.3467106199982471e-05,1.3394030517588354e-05,13467.10619998247,13394.030517588353,1.001953125
DES,4096,9,0.0547166480100713,0.0544313059945125,4104,0.00390625,0.0713905208389411,0.07176476714326512,1.3358556643083813e-05,1.3288893065066528e-05,13358.556643083813,13288.893065066528,1.001953125
DES,4096,10,0.0552241039986256,0.054951024998445,4104,0.00390625,0.07073451114928397,0.0710860261498405,1.3482447265289454e-05,1.3415777587510987e-05,13482.447265289453,13415.777587510987,1.001953125
3DES,4096,1,0.1636250549927353,0.1628493279858958,4104,0.00390625,0.023873177614353935,0.023986896650493493,3.994752319158577e-05,3.975813671530659e-05,39947.523191585766,39758.136715306595,1.001953125
