algorithm,input_size_bytes,trial_number,encryption_time_seconds,decryption_time_seconds,ciphertext_size_bytes
DES,65536,7,0.8621370920154732,0.8580276390130166,65544
DES,65536,8,0.8709972799988464,0.8713930200028699,65544
DES,65536,9,0.8790986629901454,0.8744844169996213,65544
DES,65536,10,0.8810758919862565,0.875761881005019,65544
3DES,65536,1,2.616408575006062,2.628770401002839,65544
3DES,65536,2,2.5676358259806875,2.5601509849948343,65544
3DES,65536,3,2.5741525090124924,2.5687891629931983,65544
3DES,65536,4,2.607206977001624,2.569517090014415,65544
3DES,65536,5,2.577596788003575,2.5741498280258384,65544
3DES,65536,6,2.5899084089905955,2.6086386630195193,65544
3DES,65536,7,2.6357715380145237,2.594712524994975,65544
3DES,65536,8,2.6435786380025093,2.669672546995571,65544
3DES,65536,9,2.6247021880117245,2.592250627989415,65544
3DES,65536,10,2.6062057359959,2.623128147009993,65544
